code_module,code_presentation,id_student,id_site,date,sum_click
BBB,2013B,409662,542811,44,7
BBB,2013B,409662,542811,44,4
BBB,2013B,409662,542864,44,2
BBB,2013B,406974,542891,44,1
BBB,2013B,406974,543055,44,1
BBB,2013B,406974,543038,44,1
BBB,2013B,406974,542864,44,4
BBB,2013B,406974,542891,44,3
BBB,2013B,406974,542891,44,4
BBB,2013B,406974,542891,44,8
BBB,2013B,406974,542891,44,17
BBB,2013B,406974,542891,44,1
BBB,2013B,410739,543065,44,3
BBB,2013B,410739,543190,44,2
BBB,2013B,410739,542864,44,7
BBB,2013B,410739,543055,44,2
BBB,2013B,410739,543088,44,1
BBB,2013B,415716,542811,44,8
BBB,2013B,415716,542811,44,1
BBB,2013B,415716,542864,44,2
BBB,2013B,415716,543055,44,1
BBB,2013B,415716,542811,44,6
BBB,2013B,416654,542807,44,2
BBB,2013B,416654,542864,44,3
BBB,2013B,416654,543055,44,1
BBB,2013B,416654,542811,44,1
BBB,2013B,416654,542811,44,2
BBB,2013B,416654,543076,44,1
BBB,2013B,416654,542811,44,7
BBB,2013B,416654,542807,44,1
BBB,2013B,423314,542864,44,1
BBB,2013B,423314,542811,44,1
BBB,2013B,423314,542811,44,1
BBB,2013B,423314,542811,44,1
BBB,2013B,423314,542811,44,1
BBB,2013B,423871,542795,44,1
BBB,2013B,423871,542807,44,5
BBB,2013B,421205,542891,44,7
BBB,2013B,421205,542891,44,1
BBB,2013B,421205,542891,44,1
BBB,2013B,421205,542891,44,1
BBB,2013B,421205,542891,44,1
BBB,2013B,421205,542891,44,1
BBB,2013B,421205,542864,44,1
BBB,2013B,423871,542864,44,1
BBB,2013B,423871,542807,44,4
BBB,2013B,423871,542811,44,2
BBB,2013B,423871,542811,44,1
BBB,2013B,503878,543088,44,1
BBB,2013B,503878,542811,44,1
BBB,2013B,504028,542807,44,1
BBB,2013B,504028,542811,44,1
BBB,2013B,503878,543055,44,2
BBB,2013B,504028,542795,44,2
BBB,2013B,504028,542864,44,5
BBB,2013B,504028,542811,44,2
BBB,2013B,504028,542807,44,3
BBB,2013B,504028,542811,44,3
BBB,2013B,504028,542795,44,1
BBB,2013B,503878,542864,44,4
BBB,2013B,503878,542811,44,2
BBB,2013B,504102,542795,44,1
BBB,2013B,504102,543020,44,1
BBB,2013B,504102,542795,44,1
BBB,2013B,504102,542864,44,3
BBB,2013B,511067,542811,44,1
BBB,2013B,511306,542864,44,8
BBB,2013B,511306,542807,44,16
BBB,2013B,511067,542807,44,8
BBB,2013B,511306,542795,44,3
BBB,2013B,511067,542811,44,2
BBB,2013B,511306,542807,44,14
BBB,2013B,511067,542864,44,8
BBB,2013B,511067,543186,44,1
BBB,2013B,511067,543054,44,1
BBB,2013B,511067,542807,44,1
BBB,2013B,511067,543020,44,1
BBB,2013B,511306,542811,44,2
BBB,2013B,511067,543055,44,1
BBB,2013B,511067,542807,44,6
BBB,2013B,511306,542795,44,2
BBB,2013B,511693,542811,44,1
BBB,2013B,511693,542864,44,2
BBB,2013B,511693,542811,44,4
BBB,2013B,511693,542811,44,3
BBB,2013B,510556,543038,44,1
BBB,2013B,510556,542807,44,5
BBB,2013B,510556,542811,44,2
BBB,2013B,510556,542864,44,2
BBB,2013B,510556,542811,44,1
BBB,2013B,510556,542807,44,6
BBB,2013B,511515,542891,44,5
BBB,2013B,511515,542891,44,2
BBB,2013B,511515,543088,44,1
BBB,2013B,511515,543190,44,1
BBB,2013B,511515,543065,44,2
BBB,2013B,511515,542864,44,3
BBB,2013B,511515,543055,44,2
BBB,2013B,511515,542891,44,3
BBB,2013B,511515,542891,44,1
